lemma;lemma-href;;
anticipatie-1;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00913.php;Klik;
anticipatie-2;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00545.php;Klik;
anticipatio;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03138.php;Klik;
anticipatio;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03139.php;Klik;
anticipatio;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03140.php;Klik;
anticlimax-1;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02003.php;Klik;
anticlimax-2;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02006.php;Klik;
antieke roman;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04534.php;Klik;
antifoon;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02045.php;Klik;
antifrase;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02005.php;Klik;
antiheld;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00639.php;Klik;
anti-illusionistisch toneel;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03300.php;Klik;
antilogie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02477.php;Klik;
antimasker;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03410.php;Klik;
antimetabole;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02007.php;Klik;
antimetrie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02008.php;Klik;
antiode/antipirrhema;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00640.php;Klik;
antiparastasis;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05178.php;Klik;
antiqua;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01312.php;Klik;
antiquariaat;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00161.php;Klik;
antiquariaatscatalogus;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00162.php;Klik;
antiquiserende roman;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04534.php;Klik;
antiroman;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00027.php;Klik;
antistrofe-1;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02010.php;Klik;
antistrofe-2;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02011.php;Klik;
antitheater;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00730.php;Klik;
antithese;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02012.php;Klik;
antithetisch parallellisme;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02486.php;Klik;
antitheton;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02012.php;Klik;
antitoneel;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00730.php;Klik;
antoniem;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00028.php;Klik;
antonomasia-1;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00163.php;Klik;
antonomasia-2;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00164.php;Klik;
antonymie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05180.php;Klik;
antropomorfisme;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03408.php;Klik;
anxiety of influence;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05058.php;Klik;
aoede;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04102.php;Klik;
aparte;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03231.php;Klik;
aphodos;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05181.php;Klik;
apocalyptische literatuur;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00733.php;Klik;
apocope;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02013.php;Klik;
apocopisch rijm;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02015.php;Klik;
apocrief;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03411.php;Klik;
apodioxis;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05182.php;Klik;
apodosis;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00165.php;Klik;
apofasis;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04560.php;Klik;
apofthegma;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00642.php;Klik;
apograaf;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00166.php;Klik;
apokoinou;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02016.php;Klik;
apollinisch/dionysisch;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02017.php;Klik;
apologie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00029.php;Klik;
apologisch spreekwoord;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03224.php;Klik;
apopemptikon/propemptikon;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05049.php;Klik;
apoplanèsis;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00038.php;Klik;
aporie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00586.php;Klik;
aposiopese;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00030.php;Klik;
apostelspel;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02562.php;Klik;
